Thread ID: 2148405680
Total: 0.017664

 %self     total     self     wait    child    calls  name
  0.03      0.02     0.00     0.00     0.02        1  ActionController::Integration::Session#get
  0.03      0.00     0.00     0.00     0.00        1  Array#reverse_each
  0.03      0.00     0.00     0.00     0.00        1  <Class::ActionController::Base>#rescue_handlers
  0.03      0.00     0.00     0.00     0.00        1  ActionController::Response#convert_language!
  0.03      0.00     0.00     0.00     0.00        1  <Class::ActiveRecord::Base>#retrieve_connection
  0.03      0.00     0.00     0.00     0.00        1  ActionController::Request#path_parameters
  0.03      0.00     0.00     0.00     0.00        1  Rack::Lint#check_content_type
  0.03      0.00     0.00     0.00     0.00        1  Kernel#instance_eval
  0.03      0.00     0.00     0.00     0.00        2  String#upcase
  0.03      0.00     0.00     0.00     0.00        2  Hash#has_key?
  0.03      0.00     0.00     0.00     0.00        2  Exception#to_s
  0.03      0.00     0.00     0.00     0.00        3  Hash#default=
  0.03      0.00     0.00     0.00     0.00        2  ActionView::Base#template
  0.02      0.00     0.00     0.00     0.00        1  Rack::Request#content_length
  0.02      0.00     0.00     0.00     0.00        1  ActionController::Base#rescue_responses
  0.02      0.00     0.00     0.00     0.00        2  <Class::Thread>#pass
  0.02      0.00     0.00     0.00     0.00        1  ActionController::Request#session
  0.02      0.00     0.00     0.00     0.00        1  <Module::Rails>#backtrace_cleaner
  0.02      0.00     0.00     0.00     0.00        2  Module#method_defined?
  0.02      0.00     0.00     0.00     0.00        3  Object#initialize
  0.02      0.00     0.00     0.00     0.00        1  String#initialize_copy
  0.02      0.00     0.00     0.00     0.00        1  Rack::Lint#initialize
